LSOA,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived),Percentile,Decile,IMD_Decile2010
E01011958,65.21,457,1.406933071,0.140693307,1
E01013482,65.2,458,1.410011699,0.14100117,1
E01012572,65.2,459,1.413090327,0.141309033,1
E01009190,65.15,460,1.416168955,0.141616896,1
E01005515,65.14,461,1.419247583,0.141924758,1
E01004927,65.14,462,1.422326211,0.142232621,1
E01013590,65.14,463,1.42540484,0.142540484,1
E01019140,65.1,464,1.428483468,0.142848347,1
E01006746,65.08,465,1.431562096,0.14315621,1
E01024876,65.06,466,1.434640724,0.143464072,1
E01006714,65.03,467,1.437719352,0.143771935,1
E01010843,65.02,468,1.44079798,0.144079798,1
E01007129,65.01,469,1.443876609,0.144387661,1
E01004877,65.01,470,1.446955237,0.144695524,1
E01026624,65.01,471,1.450033865,0.145003386,1
E01009134,64.99,472,1.453112493,0.145311249,1
E01008899,64.98,473,1.456191121,0.145619112,1
E01008215,64.97,474,1.459269749,0.145926975,1
E01004866,64.94,475,1.462348378,0.146234838,1
E01012263,64.91,476,1.465427006,0.146542701,1
E01019156,64.88,477,1.468505634,0.146850563,1
E01013210,64.88,478,1.471584262,0.147158426,1
E01008901,64.86,479,1.47466289,0.147466289,1
E01015048,64.85,480,1.477741518,0.147774152,1
E01007273,64.85,481,1.480820147,0.148082015,1
E01006516,64.82,482,1.483898775,0.148389877,1
E01005195,64.8,483,1.486977403,0.14869774,1
E01025295,64.78,484,1.490056031,0.149005603,1
E01011029,64.78,485,1.493134659,0.149313466,1
E01006693,64.75,486,1.496213287,0.149621329,1
E01006327,64.72,487,1.499291916,0.149929192,1
E01010623,64.68,488,1.502370544,0.150237054,1
E01012021,64.68,489,1.505449172,0.150544917,1
E01009109,64.63,490,1.5085278,0.15085278,1
E01011140,64.62,491,1.511606428,0.151160643,1
E01031057,64.59,492,1.514685056,0.151468506,1
E01009332,64.55,493,1.517763685,0.151776368,1
E01014244,64.54,494,1.520842313,0.152084231,1
E01025307,64.54,495,1.523920941,0.152392094,1
E01020592,64.53,496,1.526999569,0.152699957,1
E01013817,64.5,497,1.530078197,0.15300782,1
E01004801,64.5,498,1.533156825,0.153315683,1
E01005467,64.5,499,1.536235453,0.153623545,1
E01014220,64.49,500,1.539314082,0.153931408,1
E01002081,64.48,501,1.54239271,0.154239271,1
E01009129,64.4,502,1.545471338,0.154547134,1
E01024609,64.38,503,1.548549966,0.154854997,1
E01009321,64.35,504,1.551628594,0.155162859,1
E01012948,64.34,505,1.554707222,0.155470722,1
E01012656,64.34,506,1.557785851,0.155778585,1
E01008545,64.33,507,1.560864479,0.156086448,1
E01004407,64.3,508,1.563943107,0.156394311,1
E01007220,64.29,509,1.567021735,0.156702174,1
E01006632,64.29,510,1.570100363,0.157010036,1
E01011953,64.27,511,1.573178991,0.157317899,1
E01007289,64.25,512,1.57625762,0.157625762,1
E01026597,64.24,513,1.579336248,0.157933625,1
E01011675,64.24,514,1.582414876,0.158241488,1
E01008485,64.23,515,1.585493504,0.15854935,1
E01009483,64.21,516,1.588572132,0.158857213,1
